"Código Pagamento";"Código Lista";"Data Emissão";"Código Banco";"Nome Banco";"Agência";"Valor em R$"
"153103152342024OB000021";"153103152342023LB000047";"02/01/2024";"237";"Banco Bradesco S.A.";"0906";"1156938,79"
"153103152342024OB000021";"153103152342023LB000047";"02/01/2024";"756";"Banco Cooperativo do Brasil S.A. - BANCOOB";"0001";"8572435,12"
"153103152342024OB000022";"153103152342023LB000048";"02/01/2024";"104";"Caixa Econômica Federal";"0633";"28706237,44"
"153103152342024OB000022";"153103152342023LB000048";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"1098582,08"
"153103152342024OB000022";"153103152342023LB000048";"02/01/2024";"748";"Banco Cooperativo Sicredi S.A.";"0100";"681905,54"
"153103152342024OB000023";"153103152342023LB000046";"02/01/2024";"1";"Banco do Brasil S.A.";"1668";"678282,97"
"153103152342024OB000023";"153103152342023LB000046";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"0080";"64189,25"
"153103152342024OB000023";"153103152342023LB000046";"02/01/2024";"41";"Banco do Estado do Rio Grande do Sul S.A.";"0100";"2729,43"
"153103152342024OB000023";"153103152342023LB000046";"02/01/2024";"104";"Caixa Econômica Federal";"0633";"271930,65"
"153103152342024OB000023";"153103152342023LB000046";"02/01/2024";"237";"Banco Bradesco S.A.";"0906";"29336,71"
"153103152342024OB000023";"153103152342023LB000046";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"39443,06"
"153103152342024OB000023";"153103152342023LB000046";"02/01/2024";"748";"Banco Cooperativo Sicredi S.A.";"0100";"11146,23"
"153103152342024OB000023";"153103152342023LB000046";"02/01/2024";"756";"Banco Cooperativo do Brasil S.A. - BANCOOB";"0001";"45520,38"
